hour,timestamp,status,option_surface_expiry,binance_spot,binance_spot_status,binance_spot_timestamp,binance_spot_source,binance_spot_unit,coinbase_spot,coinbase_spot_status,coinbase_spot_timestamp,coinbase_spot_source,coinbase_spot_unit,usdt_usd,usdt_usd_status,usdt_usd_timestamp,usdt_usd_source,usdt_usd_unit,premium_usd,premium_usd_status,premium_usd_timestamp,premium_usd_source,premium_usd_unit,premium_bps,premium_bps_status,premium_bps_timestamp,premium_bps_source,premium_bps_unit,premium_fx_bps,premium_fx_bps_status,premium_fx_bps_timestamp,premium_fx_bps_source,premium_fx_bps_unit,atm_iv,atm_iv_status,atm_iv_timestamp,atm_iv_source,atm_iv_unit,skew_25d,skew_25d_status,skew_25d_timestamp,skew_25d_source,skew_25d_unit,put_wall,put_wall_status,put_wall_timestamp,put_wall_source,put_wall_unit,call_wall,call_wall_status,call_wall_timestamp,call_wall_source,call_wall_unit,option_oi_btc,option_oi_btc_status,option_oi_btc_timestamp,option_oi_btc_source,option_oi_btc_unit,gross_gex_proxy,gross_gex_proxy_status,gross_gex_proxy_timestamp,gross_gex_proxy_source,gross_gex_proxy_unit,binance_cvd_15m,binance_cvd_15m_status,binance_cvd_15m_timestamp,binance_cvd_15m_source,binance_cvd_15m_unit,binance_cvd_1h,binance_cvd_1h_status,binance_cvd_1h_timestamp,binance_cvd_1h_source,binance_cvd_1h_unit,binance_cvd_4h,binance_cvd_4h_status,binance_cvd_4h_timestamp,binance_cvd_4h_source,binance_cvd_4h_unit,binance_cvd_24h,binance_cvd_24h_status,binance_cvd_24h_timestamp,binance_cvd_24h_source,binance_cvd_24h_unit,coinbase_cvd_15m,coinbase_cvd_15m_status,coinbase_cvd_15m_timestamp,coinbase_cvd_15m_source,coinbase_cvd_15m_unit,coinbase_cvd_1h,coinbase_cvd_1h_status,coinbase_cvd_1h_timestamp,coinbase_cvd_1h_source,coinbase_cvd_1h_unit,coinbase_cvd_4h,coinbase_cvd_4h_status,coinbase_cvd_4h_timestamp,coinbase_cvd_4h_source,coinbase_cvd_4h_unit,coinbase_cvd_24h,coinbase_cvd_24h_status,coinbase_cvd_24h_timestamp,coinbase_cvd_24h_source,coinbase_cvd_24h_unit,binance_oi,binance_oi_status,binance_oi_timestamp,binance_oi_source,binance_oi_unit,binance_mark,binance_mark_status,binance_mark_timestamp,binance_mark_source,binance_mark_unit,binance_funding,binance_funding_status,binance_funding_timestamp,binance_funding_source,binance_funding_unit,binance_basis_bps,binance_basis_bps_status,binance_basis_bps_timestamp,binance_basis_bps_source,binance_basis_bps_unit,binance_oi_change_1h,binance_oi_change_1h_status,binance_oi_change_1h_timestamp,binance_oi_change_1h_source,binance_oi_change_1h_unit,binance_oi_change_4h,binance_oi_change_4h_status,binance_oi_change_4h_timestamp,binance_oi_change_4h_source,binance_oi_change_4h_unit,binance_oi_change_24h,binance_oi_change_24h_status,binance_oi_change_24h_timestamp,binance_oi_change_24h_source,binance_oi_change_24h_unit,deribit_oi,deribit_oi_status,deribit_oi_timestamp,deribit_oi_source,deribit_oi_unit,deribit_mark,deribit_mark_status,deribit_mark_timestamp,deribit_mark_source,deribit_mark_unit,deribit_funding,deribit_funding_status,deribit_funding_timestamp,deribit_funding_source,deribit_funding_unit,deribit_basis_bps,deribit_basis_bps_status,deribit_basis_bps_timestamp,deribit_basis_bps_source,deribit_basis_bps_unit,deribit_oi_change_1h,deribit_oi_change_1h_status,deribit_oi_change_1h_timestamp,deribit_oi_change_1h_source,deribit_oi_change_1h_unit,deribit_oi_change_4h,deribit_oi_change_4h_status,deribit_oi_change_4h_timestamp,deribit_oi_change_4h_source,deribit_oi_change_4h_unit,deribit_oi_change_24h,deribit_oi_change_24h_status,deribit_oi_change_24h_timestamp,deribit_oi_change_24h_source,deribit_oi_change_24h_unit
2026-09-16T11:00:00.000Z,2026-09-16T11:38:25.780Z,partial,2026-10-30T08:00:00.000Z,75978.01,ok,2026-09-16T11:28:33.001Z,https://data-api.binance.vision/api/v3/ticker/24hr?symbol=BTCUSDT,USDT,,error,,https://api.exchange.coinbase.com,USD,,error,,https://api.exchange.coinbase.com,USD,,error,,Coinbase BTC-USD / Binance BTCUSDT,USD,,error,,Coinbase BTC-USD / Binance BTCUSDT,bp,,error,,Coinbase BTC-USD / Binance BTCUSDT,bp,36.52,ok,2026-09-16T11:33:56.890Z,Deribit mark IV; same expiry and settlement currency,volatility percentage points,-2.164857576579024,ok,2026-09-16T11:33:56.890Z,Deribit mark IV; same expiry and settlement currency,volatility percentage points,60000.0,ok,2026-09-16T11:28:43.696Z,Deribit public option tickers,USD strike,80000.0,ok,2026-09-16T11:28:43.696Z,Deribit public option tickers,USD strike,438716.37,ok,2026-09-16T11:28:43.696Z,Deribit public option tickers,BTC,589293712.8065511,ok,2026-09-16T11:28:43.696Z,Deribit public option tickers,USD per 1% BTC move,3.9409099999999975,ok,2026-09-16T11:28:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,-6.686640000000003,ok,2026-09-16T11:28:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,-192.52229000000003,ok,2026-09-16T11:28:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,-598.70356,ok,2026-09-16T11:28:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,,error,,Coinbase BTC-USD /products/BTC-USD/trades,BTC,,error,,Coinbase BTC-USD /products/BTC-USD/trades,BTC,,error,,Coinbase BTC-USD /products/BTC-USD/trades,BTC,,error,,Coinbase BTC-USD /products/BTC-USD/trades,BTC,107042.11,ok,2026-09-16T11:28:36.952Z,https://fapi.binance.com/fapi/v1/openInterest,BTC,75948.69999275,ok,2026-09-16T11:28:31.000Z,https://fapi.binance.com/fapi/v1/premiumIndex,USDT,3.787e-05,ok,2026-09-16T11:28:31.000Z,https://fapi.binance.com/fapi/v1/premiumIndex,fraction,-2.810347574986327,ok,2026-09-16T11:28:31.000Z,https://fapi.binance.com/fapi/v1/premiumIndex,bp,0.09329981607937299,ok,2026-09-16T11:28:36.952Z,binance same-market OI,%,-0.5148838798579192,ok,2026-09-16T11:28:36.952Z,binance same-market OI,%,1.384129392695277,ok,2026-09-16T11:28:36.952Z,binance same-market OI,%,791037840.0,ok,2026-09-16T11:28:34.653Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,USD,75940.44,ok,2026-09-16T11:28:34.653Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,USD,6.675e-05,ok,2026-09-16T11:28:34.653Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,fraction,3.663422015545148,ok,2026-09-16T11:28:34.653Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,bp,,error,,deribit same-market OI,%,,error,,deribit same-market OI,%,,error,,deribit same-market OI,%
2026-09-16T17:00:00.000Z,2026-09-16T17:35:55.739Z,partial,2026-10-30T08:00:00.000Z,75716.01,ok,2026-09-16T17:29:28.009Z,https://data-api.binance.vision/api/v3/ticker/24hr?symbol=BTCUSDT,USDT,75652.59,ok,2026-09-16T17:29:26.529Z,https://api.exchange.coinbase.com/products/BTC-USD/ticker,USD,0.99922,ok,2026-09-16T17:29:24.604Z,https://api.exchange.coinbase.com/products/USDT-USD/ticker,USD,-63.419999999998254,ok,2026-09-16T17:29:26.529Z,Coinbase BTC-USD / Binance BTCUSDT,USD,-8.376035662734772,ok,2026-09-16T17:29:26.529Z,Coinbase BTC-USD / Binance BTCUSDT,bp,-0.5764853212862194,ok,2026-09-16T17:29:24.604Z,Coinbase BTC-USD / Binance BTCUSDT,bp,35.94,ok,2026-09-16T17:32:58.745Z,Deribit mark IV; same expiry and settlement currency,volatility percentage points,-2.0901764585883313,ok,2026-09-16T17:32:54.717Z,Deribit mark IV; same expiry and settlement currency,volatility percentage points,60000.0,ok,2026-09-16T17:29:29.283Z,Deribit public option tickers,USD strike,80000.0,ok,2026-09-16T17:29:29.283Z,Deribit public option tickers,USD strike,441732.19,ok,2026-09-16T17:29:29.283Z,Deribit public option tickers,BTC,617850561.7879615,ok,2026-09-16T17:29:30.290Z,Deribit public option tickers,USD per 1% BTC move,29.76988,ok,2026-09-16T17:29:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,58.941190000000006,ok,2026-09-16T17:29:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,182.44540999999998,ok,2026-09-16T17:29:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,-364.04641,ok,2026-09-16T17:29:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,-3.888127980000002,ok,2026-09-16T17:29:00.000Z,Coinbase BTC-USD /products/BTC-USD/trades,BTC,-62.95680455999999,ok,2026-09-16T17:29:00.000Z,Coinbase BTC-USD /products/BTC-USD/trades,BTC,-543.6329291799999,ok,2026-09-16T17:29:00.000Z,Coinbase BTC-USD /products/BTC-USD/trades,BTC,-1643.2100325699998,ok,2026-09-16T17:29:00.000Z,Coinbase BTC-USD /products/BTC-USD/trades,BTC,,error,,https://fapi.binance.com,BTC,,error,,https://fapi.binance.com,,,error,,https://fapi.binance.com,,,error,,https://fapi.binance.com,,,error,,binance same-market OI,%,,error,,binance same-market OI,%,,error,,binance same-market OI,%,792187300.0,ok,2026-09-16T17:29:27.936Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,USD,75687.01,ok,2026-09-16T17:29:27.936Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,USD,7.334e-05,ok,2026-09-16T17:29:27.936Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,fraction,3.5381859745609034,ok,2026-09-16T17:29:27.936Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,bp,,error,,deribit same-market OI,%,,error,,deribit same-market OI,%,,error,,deribit same-market OI,%
2026-09-16T18:00:00.000Z,2026-09-16T18:43:19.599Z,partial,2026-10-30T08:00:00.000Z,75186.01,ok,2026-09-16T18:36:52.006Z,https://data-api.binance.vision/api/v3/ticker/24hr?symbol=BTCUSDT,USDT,75084.22,ok,2026-09-16T18:36:50.927Z,https://api.exchange.coinbase.com/products/BTC-USD/ticker,USD,0.99911,ok,2026-09-16T18:36:50.620Z,https://api.exchange.coinbase.com/products/USDT-USD/ticker,USD,-101.7899999999936,ok,2026-09-16T18:36:50.927Z,Coinbase BTC-USD / Binance BTCUSDT,USD,-13.538422906069043,ok,2026-09-16T18:36:50.927Z,Coinbase BTC-USD / Binance BTCUSDT,bp,-4.642554779823511,ok,2026-09-16T18:36:50.620Z,Coinbase BTC-USD / Binance BTCUSDT,bp,35.61,ok,2026-09-16T18:40:23.931Z,Deribit mark IV; same expiry and settlement currency,volatility percentage points,-1.9093370284603068,ok,2026-09-16T18:40:20.261Z,Deribit mark IV; same expiry and settlement currency,volatility percentage points,60000.0,ok,2026-09-16T18:36:53.995Z,Deribit public option tickers,USD strike,80000.0,ok,2026-09-16T18:36:53.995Z,Deribit public option tickers,USD strike,442655.64,ok,2026-09-16T18:36:53.995Z,Deribit public option tickers,BTC,612295394.7673756,ok,2026-09-16T18:36:53.995Z,Deribit public option tickers,USD per 1% BTC move,-36.39095999999999,ok,2026-09-16T18:36:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,136.69652,ok,2026-09-16T18:36:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,275.59011999999996,ok,2026-09-16T18:36:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,-369.30197000000004,ok,2026-09-16T18:36:00.000Z,Binance BTCUSDT /api/v3/klines (taker volumes),BTC,-33.15108619999997,ok,2026-09-16T18:36:00.000Z,Coinbase BTC-USD /products/BTC-USD/trades,BTC,-55.29787943999982,ok,2026-09-16T18:36:00.000Z,Coinbase BTC-USD /products/BTC-USD/trades,BTC,-422.43243986999977,ok,2026-09-16T18:36:00.000Z,Coinbase BTC-USD /products/BTC-USD/trades,BTC,-1441.4956598399997,ok,2026-09-16T18:36:00.000Z,Coinbase BTC-USD /products/BTC-USD/trades,BTC,,error,,https://fapi.binance.com,BTC,,error,,https://fapi.binance.com,,,error,,https://fapi.binance.com,,,error,,https://fapi.binance.com,,,error,,binance same-market OI,%,,error,,binance same-market OI,%,,error,,binance same-market OI,%,795870710.0,ok,2026-09-16T18:36:51.513Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,USD,75113.99,ok,2026-09-16T18:36:51.513Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,USD,7.249e-05,ok,2026-09-16T18:36:51.513Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,fraction,3.6078197395306155,ok,2026-09-16T18:36:51.513Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=BTC-PERPETUAL,bp,0.46496706018892553,ok,2026-09-16T18:36:51.513Z,deribit same-market OI,%,,error,,deribit same-market OI,%,,error,,deribit same-market OI,%
