asset,hour,timestamp,status,option_surface_expiry,binance_spot,binance_spot_status,binance_spot_timestamp,binance_spot_source,binance_spot_unit,coinbase_spot,coinbase_spot_status,coinbase_spot_timestamp,coinbase_spot_source,coinbase_spot_unit,premium_bps,premium_bps_status,premium_bps_timestamp,premium_bps_source,premium_bps_unit,premium_fx_bps,premium_fx_bps_status,premium_fx_bps_timestamp,premium_fx_bps_source,premium_fx_bps_unit,binance_oi,binance_oi_status,binance_oi_timestamp,binance_oi_source,binance_oi_unit,deribit_oi,deribit_oi_status,deribit_oi_timestamp,deribit_oi_source,deribit_oi_unit,binance_funding,binance_funding_status,binance_funding_timestamp,binance_funding_source,binance_funding_unit,deribit_funding,deribit_funding_status,deribit_funding_timestamp,deribit_funding_source,deribit_funding_unit,binance_basis_bps,binance_basis_bps_status,binance_basis_bps_timestamp,binance_basis_bps_source,binance_basis_bps_unit,deribit_basis_bps,deribit_basis_bps_status,deribit_basis_bps_timestamp,deribit_basis_bps_source,deribit_basis_bps_unit,vwap_session,vwap_session_status,vwap_session_timestamp,vwap_session_source,vwap_session_unit,vwap_24h,vwap_24h_status,vwap_24h_timestamp,vwap_24h_source,vwap_24h_unit,vwap_7d,vwap_7d_status,vwap_7d_timestamp,vwap_7d_source,vwap_7d_unit,poc_session,poc_session_status,poc_session_timestamp,poc_session_source,poc_session_unit,vah_session,vah_session_status,vah_session_timestamp,vah_session_source,vah_session_unit,val_session,val_session_status,val_session_timestamp,val_session_source,val_session_unit,poc_24h,poc_24h_status,poc_24h_timestamp,poc_24h_source,poc_24h_unit,vah_24h,vah_24h_status,vah_24h_timestamp,vah_24h_source,vah_24h_unit,val_24h,val_24h_status,val_24h_timestamp,val_24h_source,val_24h_unit,poc_7d,poc_7d_status,poc_7d_timestamp,poc_7d_source,poc_7d_unit,vah_7d,vah_7d_status,vah_7d_timestamp,vah_7d_source,vah_7d_unit,val_7d,val_7d_status,val_7d_timestamp,val_7d_source,val_7d_unit,option_oi,option_oi_status,option_oi_timestamp,option_oi_source,option_oi_unit,gross_gex_proxy,gross_gex_proxy_status,gross_gex_proxy_timestamp,gross_gex_proxy_source,gross_gex_proxy_unit,net_gex_estimate,net_gex_estimate_status,net_gex_estimate_timestamp,net_gex_estimate_source,net_gex_estimate_unit,zero_gamma_flip_repriced,zero_gamma_flip_repriced_status,zero_gamma_flip_repriced_timestamp,zero_gamma_flip_repriced_source,zero_gamma_flip_repriced_unit,zero_gamma_flip_cumulative,zero_gamma_flip_cumulative_status,zero_gamma_flip_cumulative_timestamp,zero_gamma_flip_cumulative_source,zero_gamma_flip_cumulative_unit,gamma_regime,gamma_regime_status,gamma_regime_timestamp,gamma_regime_source,gamma_regime_unit,atm_iv,atm_iv_status,atm_iv_timestamp,atm_iv_source,atm_iv_unit,skew_25d,skew_25d_status,skew_25d_timestamp,skew_25d_source,skew_25d_unit,put_wall,put_wall_status,put_wall_timestamp,put_wall_source,put_wall_unit,call_wall,call_wall_status,call_wall_timestamp,call_wall_source,call_wall_unit,binance_cvd_15m,binance_cvd_15m_status,binance_cvd_15m_timestamp,binance_cvd_15m_source,binance_cvd_15m_unit,binance_cvd_1h,binance_cvd_1h_status,binance_cvd_1h_timestamp,binance_cvd_1h_source,binance_cvd_1h_unit,binance_cvd_4h,binance_cvd_4h_status,binance_cvd_4h_timestamp,binance_cvd_4h_source,binance_cvd_4h_unit,binance_cvd_24h,binance_cvd_24h_status,binance_cvd_24h_timestamp,binance_cvd_24h_source,binance_cvd_24h_unit,coinbase_cvd_15m,coinbase_cvd_15m_status,coinbase_cvd_15m_timestamp,coinbase_cvd_15m_source,coinbase_cvd_15m_unit,coinbase_cvd_1h,coinbase_cvd_1h_status,coinbase_cvd_1h_timestamp,coinbase_cvd_1h_source,coinbase_cvd_1h_unit,coinbase_cvd_4h,coinbase_cvd_4h_status,coinbase_cvd_4h_timestamp,coinbase_cvd_4h_source,coinbase_cvd_4h_unit,coinbase_cvd_24h,coinbase_cvd_24h_status,coinbase_cvd_24h_timestamp,coinbase_cvd_24h_source,coinbase_cvd_24h_unit,binance_oi_change_1h,binance_oi_change_1h_status,binance_oi_change_1h_timestamp,binance_oi_change_1h_source,binance_oi_change_1h_unit,binance_oi_change_4h,binance_oi_change_4h_status,binance_oi_change_4h_timestamp,binance_oi_change_4h_source,binance_oi_change_4h_unit,binance_oi_change_24h,binance_oi_change_24h_status,binance_oi_change_24h_timestamp,binance_oi_change_24h_source,binance_oi_change_24h_unit,deribit_oi_change_1h,deribit_oi_change_1h_status,deribit_oi_change_1h_timestamp,deribit_oi_change_1h_source,deribit_oi_change_1h_unit,deribit_oi_change_4h,deribit_oi_change_4h_status,deribit_oi_change_4h_timestamp,deribit_oi_change_4h_source,deribit_oi_change_4h_unit,deribit_oi_change_24h,deribit_oi_change_24h_status,deribit_oi_change_24h_timestamp,deribit_oi_change_24h_source,deribit_oi_change_24h_unit
ZEC,2026-09-20T07:00:00.000Z,2026-09-20T07:45:39.359Z,partial,,1448.52,ok,2026-09-20T07:45:25.473Z,https://data-api.binance.vision/api/v3/ticker/24hr?symbol=ZECUSDT,USDT,1448.1,ok,2026-09-20T07:45:17.111Z,https://api.exchange.coinbase.com/products/ZEC-USD/ticker,USD,-2.8995112252511026,ok,2026-09-20T07:45:17.111Z,Coinbase ZEC-USD minus Binance ZECUSDT (unadjusted),bp,0.8007850652233195,ok,2026-09-20T07:45:17.111Z,Coinbase ZEC-USD minus Binance ZECUSDT converted with Coinbase USDT-USD,bp,,error,,https://fapi.binance.com,ZEC,411.869,ok,2026-09-20T07:45:28.759Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,ZEC,,error,,https://fapi.binance.com,,0.00024649,ok,2026-09-20T07:45:28.759Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,fraction,,error,,https://fapi.binance.com,,5.043178374630752,ok,2026-09-20T07:45:28.759Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,bp,1457.8537824345858,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1496.7428961717965,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1306.8498801318847,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1458.025,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1463.95,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1446.95,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1458.025,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1527.8500000000001,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1435.0,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1200.025,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1450.0500000000002,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1041.7,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,,not_applicable,,https://www.deribit.com/api/v2,ZEC,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,-63.161999999999985,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,1020.2789999999999,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-4042.6240000000003,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-20225.035,ok,2026-09-20T07:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,73.57619076000003,ok,2026-09-20T07:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,321.80016573999967,ok,2026-09-20T07:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-1371.134647070001,ok,2026-09-20T07:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-15456.188790809998,ok,2026-09-20T07:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%
ZEC,2026-09-20T08:00:00.000Z,2026-09-20T08:46:46.397Z,partial,,1439.09,ok,2026-09-20T08:46:30.487Z,https://data-api.binance.vision/api/v3/ticker/24hr?symbol=ZECUSDT,USDT,1438.36,ok,2026-09-20T08:46:29.135Z,https://api.exchange.coinbase.com/products/ZEC-USD/ticker,USD,-5.072650077479645,ok,2026-09-20T08:46:29.135Z,Coinbase ZEC-USD minus Binance ZECUSDT (unadjusted),bp,-1.37315814599354,ok,2026-09-20T08:45:50.366Z,Coinbase ZEC-USD minus Binance ZECUSDT converted with Coinbase USDT-USD,bp,,error,,https://fapi.binance.com,ZEC,425.777,ok,2026-09-20T08:46:33.560Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,ZEC,,error,,https://fapi.binance.com,,0.0002645,ok,2026-09-20T08:46:33.560Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,fraction,,error,,https://fapi.binance.com,,6.07619979923868,ok,2026-09-20T08:46:33.560Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,bp,1457.0070408209572,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1493.52003102828,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1313.5661521986558,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1458.025,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1463.3000000000002,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1445.15,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1458.025,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1524.65,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1435.0,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1200.025,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1453.5,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1041.7,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,,not_applicable,,https://www.deribit.com/api/v2,ZEC,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,-231.54700000000003,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-590.4870000000001,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-2027.6720000000003,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-20223.234,ok,2026-09-20T08:46:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-96.39168577999999,ok,2026-09-20T08:46:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-351.52432895,ok,2026-09-20T08:46:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-1400.0312599400008,ok,2026-09-20T08:46:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-15640.652811939997,ok,2026-09-20T08:46:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,3.3768018471892702,ok,2026-09-20T08:46:33.560Z,deribit same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%
ZEC,2026-09-20T09:00:00.000Z,2026-09-20T09:45:37.707Z,partial,,1449.29,ok,2026-09-20T09:45:23.487Z,https://data-api.binance.vision/api/v3/ticker/24hr?symbol=ZECUSDT,USDT,1448.73,ok,2026-09-20T09:45:18.014Z,https://api.exchange.coinbase.com/products/ZEC-USD/ticker,USD,-3.863960973993786,ok,2026-09-20T09:45:18.014Z,Coinbase ZEC-USD minus Binance ZECUSDT (unadjusted),bp,0.33618022169975953,ok,2026-09-20T09:44:59.213Z,Coinbase ZEC-USD minus Binance ZECUSDT converted with Coinbase USDT-USD,bp,,error,,https://fapi.binance.com,ZEC,432.159,ok,2026-09-20T09:45:26.524Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,ZEC,,error,,https://fapi.binance.com,,0.000273,ok,2026-09-20T09:45:26.524Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,fraction,,error,,https://fapi.binance.com,,4.106611499574697,ok,2026-09-20T09:45:26.524Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,bp,1455.9785265332778,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1489.3920974453588,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1323.5322554700779,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1458.025,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1464.65,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1444.15,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1458.025,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1513.95,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1435.0,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1200.025,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1457.2,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1041.7,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,,not_applicable,,https://www.deribit.com/api/v2,ZEC,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,136.34499999999997,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-382.21,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-1807.5780000000002,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-19802.670000000002,ok,2026-09-20T09:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,21.13097266,ok,2026-09-20T09:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,102.54505657,ok,2026-09-20T09:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-328.7638198400003,ok,2026-09-20T09:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-15753.272470559998,ok,2026-09-20T09:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,1.4989067046834448,ok,2026-09-20T09:45:26.524Z,deribit same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%
ZEC,2026-09-20T10:00:00.000Z,2026-09-20T10:45:44.137Z,partial,,1439.42,ok,2026-09-20T10:45:31.486Z,https://data-api.binance.vision/api/v3/ticker/24hr?symbol=ZECUSDT,USDT,1438.85,ok,2026-09-20T10:45:29.216Z,https://api.exchange.coinbase.com/products/ZEC-USD/ticker,USD,-3.9599283044570988,ok,2026-09-20T10:45:29.216Z,Coinbase ZEC-USD minus Binance ZECUSDT (unadjusted),bp,-0.26002451352699046,ok,2026-09-20T10:45:29.216Z,Coinbase ZEC-USD minus Binance ZECUSDT converted with Coinbase USDT-USD,bp,,error,,https://fapi.binance.com,ZEC,432.159,ok,2026-09-20T10:45:34.894Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,ZEC,,error,,https://fapi.binance.com,,0.00026742,ok,2026-09-20T10:45:34.894Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,fraction,,error,,https://fapi.binance.com,,5.026273481241184,ok,2026-09-20T10:45:34.894Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,bp,1455.2395649417358,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1484.4083752217762,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1326.6118261918166,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1458.025,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1464.65,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1442.3000000000002,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1458.025,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1501.45,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1435.0,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1200.025,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1458.0500000000002,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1041.7,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,,not_applicable,,https://www.deribit.com/api/v2,ZEC,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,-30.867,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-367.48999999999995,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-298.1510000000001,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-21016.771,ok,2026-09-20T10:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-33.98742843999999,ok,2026-09-20T10:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,15.049713100000034,ok,2026-09-20T10:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,87.9402359399997,ok,2026-09-20T10:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-16160.278026619997,ok,2026-09-20T10:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,0.0,ok,2026-09-20T10:45:34.894Z,deribit same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%
ZEC,2026-09-20T11:00:00.000Z,2026-09-20T11:45:27.779Z,partial,,1442.42,ok,2026-09-20T11:45:10.453Z,https://data-api.binance.vision/api/v3/ticker/24hr?symbol=ZECUSDT,USDT,1441.6,ok,2026-09-20T11:45:07.754Z,https://api.exchange.coinbase.com/products/ZEC-USD/ticker,USD,-5.6848906698476425,ok,2026-09-20T11:45:07.754Z,Coinbase ZEC-USD minus Binance ZECUSDT (unadjusted),bp,-0.28504459392864984,ok,2026-09-20T11:45:02.015Z,Coinbase ZEC-USD minus Binance ZECUSDT converted with Coinbase USDT-USD,bp,,error,,https://fapi.binance.com,ZEC,432.159,ok,2026-09-20T11:45:13.277Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,ZEC,,error,,https://fapi.binance.com,,0.00029717,ok,2026-09-20T11:45:13.277Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,fraction,,error,,https://fapi.binance.com,,7.367309702916991,ok,2026-09-20T11:45:13.277Z,https://www.deribit.com/api/v2/public/ticker?instrument_name=ZEC_USDC-PERPETUAL,bp,1453.9651071478827,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1478.966017483913,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1327.5306260999228,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT /api/v3/klines exact quote volume / base volume,USDT,1458.025,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1464.65,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1440.95,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1458.025,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1487.5500000000002,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1434.9,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1200.025,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1458.0500000000002,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,1041.7,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT aggregate trades (official API/archive),USDT,,not_applicable,,https://www.deribit.com/api/v2,ZEC,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,,,not_applicable,,https://www.deribit.com/api/v2,USD,,not_applicable,,https://www.deribit.com/api/v2,USD,605.529,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,26.957000000000043,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-1291.473,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,-21213.067,ok,2026-09-20T11:45:00.000Z,Binance ZECUSDT /api/v3/klines (taker volumes),ZEC,10.15360186000001,ok,2026-09-20T11:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-33.73250847000018,ok,2026-09-20T11:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-267.5924382700001,ok,2026-09-20T11:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,-14951.270301389999,ok,2026-09-20T11:45:00.000Z,Coinbase ZEC-USD /products/ZEC-USD/trades,ZEC,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,,error,,binance same-market ZEC OI,%,0.0,ok,2026-09-20T11:45:13.277Z,deribit same-market ZEC OI,%,4.9263236611641,ok,2026-09-20T11:45:13.277Z,deribit same-market ZEC OI,%,,error,,deribit same-market ZEC OI,%
